賣地/招標,賣地方式,地點, 用途, 面积/平方米,地价/百万元
2017年4月26日,招標,新界葵涌青山公路-葵涌段,加油站,828.2,265.3119
2017年4月26日,招標,新界粉嶺一鳴路,加油站,"2,463",237.26
2017年4月26日,招標,新界屯門青山公路-大欖段,加油站,"1,070",188.772
2017年5月5日,招標,新界葵涌永基路,工業,"1,730.10",450.8
2017年5月10日,招標,九龍長沙灣荔枝角道近長順街,商業,"4,171","4,028.80"
2017年5月16日,招標,香港中區美利道,商業,"2,880","23,280"
2017年5月16日,招標,九龍啟德第1K區1號地盤,住宅,"9,721","7,230"
2017年5月31日,招標,九龍啟德第1F區2號地盤,商業 /酒店,"19,044","24,601.00"
2017年6月21日,招標,新界屯門第56區管翠路,住宅,"12,205","3,168.89"
2017年7月21日,招標,新界沙田馬鞍山白石,住宅,"4,620","1,383"
2017年8月16日,招標,九龍長沙灣永康街、汝州西街與永明街交界,商貿,"2,873","2,967.48"
2017年8月16日,招標,新界大嶼山長沙,住宅,"2,480",210
2017年9月12日,招標,新界大埔大埔滘逸遙路,住宅,"7,660",323
2017年10月30日,招標,九龍長沙灣興華街西對出,酒店,"4,880","5,060"
2017年11月15日,招標,九龍長沙灣興華街西對出,住宅,"19,348","17,288"
2017年12月28日,招標,新界上水新樂街,住宅,200.7,131.3
2018年1月3日,招標,新界荃灣馬角街,工業,"1,972.90",725.8
2018年1月16日,招標,九龍九龍塘龍翔道與獅子山隧道公路交界,住宅,"11,262","12,451"
2018年1月24日,招標,九龍觀塘安達臣道對出,住宅,"5,354","3,112.80"
2018年3月7日,招標,新界屯門第30A區新德街,加油站,810,571.105008
2018年3月7日,招標,新界葵涌青山公路-葵涌段99號,加油站,"1,151",180.386
2018年3月7日,招標,新界沙田源安街,加油站,"1,248",289.09
2016年5月5日,招標,新界葵涌葵涌道及葵安道交界,商貿,567,350.1
2016年5月17日,招標,新界大埔白石角創新,住宅,"28,685","4,023.88"
2016年5月31日,招標,新界青衣細山路,住宅,"6,200",938.88
2016年6月28日,招標,新界屯門青山公路–,住宅,"7,578",981.68
2016年7月13日,招標,新界葵涌大連排道,商業,"1,207.80",759
2016年7月13日,招標,新界大埔白石角科研,住宅,"10,646","1,622"
2016年7月26日,招標,新界大埔大埔滘大埔,住宅,"27,735","1,182"
2016年7月27日,招標,新界西貢井欄樹,加油站,931,118
2016年7月27日,招標,新界元朗唐人新村,加油站,"1,709",196.625
2016年8月3日,招標,九龍油塘崇信街與仁,住宅,"10,530","4,005.61"
2016年8月8日,招標,新界沙田多石,住宅,"13,500","2,364.37"
2016年8月8日,招標,新界屯門第48區青山,住宅,"15,400","2,708.80"
2016年8月17日,招標,新界葵涌永基路與永,工業,"3,707",833.88
2016年8月24日,招標,新界屯門第20區青霞,住宅,"5,317","1,401.04"
2016年8月30日,招標,新界元朗凹頭,住宅,"28,457",988.888888
2016年9月14日,招標,新界沙田九肚麗坪路,住宅,"6,299","1,953"
2016年10月5日,招標,九龍筆架山龍翔道,住宅,"21,849","7,268.80"
2016年10月12日,招標,香港黃竹坑業勤街及,商貿,"1,764.80","2,528"
2016年11月2日,招標,九龍啟德第1K區3號,住宅,"11,262","8,837.13"
2016年11月9日,招標,新界大埔露輝路,住宅,"21,448","2,355"
2016年11月9日,招標,新界大埔露輝路,住宅,"10,288","1,038"
2016年11月16日,招標,九龍觀塘茜發道對出,住宅,"18,261","6,388"
2016年11月23日,招標,九龍啟德第1E區2號,商業,"14,159","7,388"
2016年12月19日,招標,九龍啟德第1L區3號,住宅,"8,803","5,412.35"
2016年12月21日,招標,九龍公主道,加油站,971.4,0
2016年12月21日,招標,九龍大埔道338號,加油站,541.2,368.5
2016年12月29日,招標,九龍啟德第1K區2號,住宅,"9,700","5,868.99"
2017年1月25日,招標,九龍啟德第1L區1號,住宅,"7,318","5,529.70"
2017年2月15日,招標,九龍長沙灣瓊林街,商貿,"7,728","7,794.38"
2017年2月24日,招標,香港鴨脷洲利南道,住宅,"11,761","16,855.78"
2017年3月15日,招標,九龍啟德第1L區2號,住宅,"9,482","7,440.50"
2015年4月15日,招標,新界上水粉錦公路,住宅,"6,409",302.2
2015年4月29日,招標,新界西貢對面海康健,住宅,"3,424",609
2015年5月13日,招標,新界沙田馬鞍山落禾,住宅,"5,830","1,468.89"
2015年5月13日,招標,九龍九龍灣祥業街、,商業 /,"3,795","3,038.88"
2015年6月10日,招標,新界屯門第16區海榮,住宅,"4,831","1,319"
2015年6月17日,招標,新界沙田馬鞍山鞍山,加油站,"2,506",0
2015年6月17日,招標,新界沙田大埔公路-,加油站,920.1,434.894999
2015年6月17日,招標,新界屯門第56區管翠,住宅,"24,336","3,628.90"
2015年6月24日,招標,新界長洲花屏路,住宅,"3,410",68.88888888
2015年7月8日,招標,新界屯門第56區掃管,住宅,"27,000","3,822.02"
2015年8月12日,招標,新界元朗牛潭尾新潭,住宅,"8,754",548
2015年9月2日,招標,新界大埔白石角創新,住宅,"17,121","3,030"
2015年9月16日,招標,新界屯門第48區青山,住宅,"8,190","1,730"
2015年9月29日,招標,九龍大窩坪延坪道,住宅,"20,401","7,020"
2015年10月20日,招標,新界沙田石門安耀街,商貿,"1,700",675.5
2015年12月23日,招標,新界元朗東頭工業區,商貿,"9,246","1,690"
2015年12月23日,招標,新界屯門第56區掃管,住宅,"6,800","1,056.13"
2016年2月3日,招標,九龍深水埗福榮街、,住宅,"3,173","1,306.22"
2016年2月12日,招標,新界大埔荔枝山山塘,住宅,"37,696","2,130"
2016年3月2日,招標,九龍何文田常盛街,住宅,"9,074","6,381.22"
2016年3月15日,招標,香港赤柱黃麻角道,住宅,"25,300","2,811"
2016年3月23日,招標,新界沙田大埔公路-,住宅,"3,300",245.09995
2014年4月9日,招標,九龍長沙灣道650號,商業 /,"1,498.40","1,002"
2014年4月9日,招標,香港筲箕灣愛勤道與,住宅,476.4,433.599
2014年4月9日,招標,新界沙田大圍美田路,住宅,687,148
2014年5月14日,招標,香港壽臣山道西與黃,住宅,"10,860","2,708.08"
2014年5月14日,招標,新界屯門第4區井財街,住宅,"2,202",232.8
2014年5月28日,招標,新界大埔白石角科研,住宅,"19,400","2,412"
2014年5月28日,招標,九龍啟德第1 H區3 號地,住宅,"7,674","2,520"
2014年6月4日,招標,香港灣仔捷船街,住宅,270,233
2014年6月13日,招標,香港西灣河近太安街,船隻加油站,226.4,2.388
2014年6月18日,招標,新界沙田大圍文禮路 1,加油站,"1,070",136.868
2014年6月25日,招標,新界沙田馬鞍山馬錦,住宅,"3,091",703.8
2014年7月9日,招標,新界元朗天水圍第1 12,住宅,"75,500","2,221.04"
2014年7月9日,招標,新界元朗天水圍第1 15,住宅,"64,400","1,968.33"
2014年8月13日,招標,新界荃灣楊屋道,住宅及,"14,160","3,939.80"
2014年8月13日,招標,新界沙田馬鞍山恆光,住宅,"3,100",428
2014年8月20日,招標,新界屯門第 10 區仁政,住宅,"1,174",427.1
2014年8月20日,招標,新界屯門第 59 區樂翠,住宅,"1,044.60",156.435713
2014年9月3日,招標,九龍尖沙咀中間道 15,商業 /,"2,630","4,688"
2014年9月18日,招標,香港黃竹坑道3號,加油站,620.7,258.6845
2014年9月18日,招標,香港黃泥涌峽道,加油站,668.9,187.983
2014年9月18日,招標,九龍荔枝角道779號,加油站,606.9,74.069998
2014年9月29日,招標,新界粉嶺聯和墟聯興,住宅,"2,828",730
2014年10月22日,招標,新界大嶼山東涌第 53a,酒店,"12,902","1,830"
2014年11月5日,招標,新界大埔白石角科進,住宅,"19,000","2,542.88"
2014年11月12日,招標,新界屯門第4區景秀里,住宅,"11,048","1,051"
2014年12月10日,招標,新界沙田馬鞍山白石,住宅,"23,500","2,138"
2014年12月17日,招標,九龍鯉魚門鯉魚門徑,住宅,"3,240","1,582"
2014年12月24日,招標,新界大嶼山長沙,住宅,"4,212",290
2015年1月7日,招標,新界沙田大埔公路─,住宅,"6,550",773
2015年1月14日,招標,新界葵涌健全街,商貿,"2,781",686.8
2015年1月27日,招標,九龍觀塘鴻業街、偉,商業 /,"6,843","5,860"
2015年1月27日,招標,新界葵涌興芳路,住宅,810,372.1
2015年2月4日,招標,新界屯門第 18區業旺,住宅,"2,428",428.8
2015年2月11日,招標,九龍筆架山龍翔道,住宅,"10,642","2,389.80"
2015年2月11日,招標,新界葵涌勝耀街、永,工業,"1,264.60",448.9
2015年3月4日,招標,新界大埔白石角科進,住宅,"23,239","3,480"
2013年4月10日,招標,將軍澳市地段第112號 新界將軍澳第65C1區,住宅(丙類),"13,922","2,449.20"
2013年4月10日,招標,屯門市地段第430號 新界屯門虎地第52 區,住宅(丁類),"3,173",53.2
2013年5月15日,招標,測量約份第2約地段 新界西貢清水灣道,加油站,989.6,115.588
2013年5月15日,招標,粉嶺上水市地段第247 新界粉嶺龍躍頭沙頭,加油站,947.2,202.188
2013年5月28日,招標,青衣市地段第185號 新界青衣青鴻路與青,物流發展用,"21,000","1,692.60"
2013年6月5日,招標,新九龍內地段第6516 九龍啟德地盤1H1,住宅(乙類),"7,771","2,270"
2013年6月5日,招標,新九龍內地段第6517 九龍啟德地盤1H2,住宅(乙類),"8,585","2,270"
2013年6月14日,招標,九龍內地段第11228號 九龍何文田佛光街與,住宅(乙類),"7,714","3,829"
2013年6月14日,招標,沙田市地段第482號 新界沙田馬鞍山保泰,商業,"5,090",661.888999
2013年6月25日,招標,將軍澳市地段第93號 新界將軍澳第68B1區,住宅(丙類),"26,302","3,000"
2013年6月25日,招標,屯門市地段第434號 新界屯門掃管笏第55,住宅(丙類),"3,457",156.8
2013年7月10日,招標,將軍澳市地段第126號 新界將軍澳第68B2區,住宅(丙類),"27,421","3,670.80"
2013年7月10日,招標,丈量約份第332約地段 新界大嶼山長沙嶼南,住宅(丁類),"1,438.20",93.5
2013年8月1日,招標,沙田市地段第563號 新界沙田九肚第56A,住宅(丙類),"5,950","1,220"
2013年8月1日,招標,屯門市地段第435號 新界屯門小秀第55區,住宅(丙類),"11,626",563.18
2013年9月4日,招標,沙田市地段第579號 新界沙田九肚第56A,住宅(丙類),"32,900","2,710"
2013年9月4日,招標,元朗市地段第528號 新界元朗東頭德業街,住宅(乙類),"4,303",751
2013年9月18日,招標,沙田市地段第578號 新界沙田九肚第56A,住宅(丙類),"17,476","2,389.89"
2013年9月18日,招標,內地段第9049號 香港灣仔適安街,住宅(乙類),208,139.9
2013年10月9日,招標,將軍澳市地段第122號 新界將軍澳第85區環,高端數據中,"10,300",428
2013年10月17日,招標,屯門市地段第498號 新界屯門第44區湖安,住宅(乙類),"2,231",551
2013年10月17日,招標,丈量約份第40約地段 新界沙頭角順隆街與,住宅(乙類),"3,344",143
2013年11月6日,招標,內地段第9036號 香港紅棉路,酒店,"6,330","4,400"
