职位名称,公司名称,职位月薪,工作经验
公司客户经理（正式）,招商银行股份有限公司杭州分行,10001-15000,3-5年
高薪直聘业务副总,CBC(北京)信用管理有限公司杭州分公司,15001-20000,5-10年
风险经理,招商银行股份有限公司杭州分行,10000-15000,3-5年
零售产品经理（产品创设）,招商银行股份有限公司杭州分行,15001-20000,1-3年
同业客户经理,招商银行股份有限公司杭州分行,10001-15000,1-3年
托管产品经理,招商银行股份有限公司杭州分行,15001-20000,3-5年
理财经理,北京恒天明泽基金销售有限公司杭州分公司,10001-15000,3-5年
投行产品经理,招商银行股份有限公司杭州分行,15001-20000,不限
票据产品经理,招商银行股份有限公司杭州分行,15001-20000,1-3年
清收保全岗,招商银行股份有限公司杭州分行,8000-10000,1-3年
投资顾问,招商银行股份有限公司杭州分行,15001-20000,3-5年
营业部总经理（湖州/衢州/上虞/丽水）,北京恒天明泽基金销售有限公司杭州分公司,20001-30000,5-10年
营业担当-针对18年应届毕业生,三井住友银行(中国)有限公司杭州分行,5000-7000,不限
银行渠道经理（可以不考勤）,杭州惠超房地产代理有限公司,8001-10000,3-5年
风控经理,浙江联合中小企业财富管理有限公司,10001-15000,3-5年
通用类岗位（测试职位请勿投递）,浙江邮政储蓄银行,面议,不限
分行业务培训生,上海银行,面议,不限
运营类职位,上海银行,面议,不限
属地资产管理岗（杭州）(003969),中信银行股份有限公司信用卡中心,面议,1年以下
风险督察,交通银行太平洋信用卡中心,4001-6000,不限
管理培训生 （营销管理类-直营）,广发银行股份有限公司信用卡中心,6500-9000,无经验
综合柜员,招商银行股份有限公司杭州分行,8001-10000,1-3年
银行行政助理,招商信诺人寿保险有限公司,2001-4000,1-3年
Teller CORP Counter Hangzhou,汇丰银行（中国）有限公司,面议,不限
寿险专员,平安银行股份有限公司信用卡中心,面议,不限
银行行政助理（质检）,招商信诺人寿保险有限公司,2001-4000,不限
上饶银行2018春季校园招聘.,上饶银行股份有限公司,8001-10000,不限
丰盛理财中心经理,星展银行(中国)有限公司,20000-30000,5-10年
对公机构业务高级客户经理（助理副总裁）,星展银行(中国)有限公司,30001-50000,5-10年
渠道征信主任（杭州）,广发银行股份有限公司信用卡中心,6001-8000,1-3年
（资深）丰盛理财经理,星展银行(中国)有限公司,10001-15000,1-3年
银行渠道专员,平安银行股份有限公司信用卡中心,面议,不限
商务管理,平安银行股份有限公司信用卡中心,面议,不限
业务主任,平安普惠投资咨询有限公司杭州莫干山路分公司,8000-15000,1-3年
项目经理,中新力合股份有限公司,6001-8000,1-3年
信用卡部授信审批岗,浙江民泰商业银行股份有限公司,10000-20000,3-5年
高级理财经理,北京恒天明泽基金销售有限公司杭州分公司,10001-15000,3-5年
商户支持中心专员,杭州铜板街网络科技有限公司,5000-9000,1-3年
授信审查岗,浙江民泰商业银行股份有限公司,10000-15000,不限
信贷/小贷/企业贷主管,杭州冰川投资管理有限公司,10000-20000,3-5年
信贷部业务管理岗,浙江民泰商业银行股份有限公司,10000-20000,3-5年
风险审查岗（审批）,杭州鑫合汇互联网金融服务有限公司,8001-10000,3-5年
项目经理,杭州鑫合汇互联网金融服务有限公司,6001-8000,1-3年
信用卡风险管理岗,浙江民泰商业银行股份有限公司,10000-20000,3-5年
存款管理岗,浙江民泰商业银行股份有限公司,10000-15000,不限
小微评审岗,杭州联合农村商业银行股份有限公司,8000-15000,不限
财富管理岗,浙江民泰商业银行股份有限公司,10000-20000,3-5年
财富中心总经理,华侨基金管理有限公司,100001-150000,5-10年
